,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
66,Willowbrook,29.9558598,-95.5459787,Fuddruckers,29.964319,-95.540696,Burger Joint
67,Willowbrook,29.9558598,-95.5459787,DICK'S Sporting Goods,29.959847484999965,-95.53785296316687,Sporting Goods Shop
68,Willowbrook,29.9558598,-95.5459787,American Eagle Store,29.959373,-95.5387079,Clothing Store
69,Willowbrook,29.9558598,-95.5459787,Gymboree,29.96048,-95.54033,Kids Store
70,Willowbrook,29.9558598,-95.5459787,Marshalls,29.9650486,-95.5454089,Department Store
71,Willowbrook,29.9558598,-95.5459787,Sears,29.96239885432664,-95.53994314438756,Hardware Store
72,Willowbrook,29.9558598,-95.5459787,Vans,29.95915104262477,-95.53855777797816,Shoe Store
73,Willowbrook,29.9558598,-95.5459787,Tacos Los Gemelos,29.949960376485002,-95.55959373082484,Taco Place
74,Willowbrook,29.9558598,-95.5459787,SEPHORA,29.9599887,-95.5392696,Cosmetics Shop
75,Willowbrook,29.9558598,-95.5459787,Hot Topic,29.9588774577447,-95.5387847979449,Clothing Store
76,Willowbrook,29.9558598,-95.5459787,Build-A-Bear Workshop,29.959298337384936,-95.53885257844239,Toy / Game Store
77,Willowbrook,29.9558598,-95.5459787,Willowbrook Mall,29.960189851442347,-95.53883605167879,Shopping Mall
78,Willowbrook,29.9558598,-95.5459787,Michael Kors,29.9598165,-95.5389506,Boutique
79,Willowbrook,29.9558598,-95.5459787,Aéropostale,29.959852,-95.53913299999999,Clothing Store
80,Willowbrook,29.9558598,-95.5459787,Torrid,29.959852,-95.53913299999999,Women's Store
81,Willowbrook,29.9558598,-95.5459787,Banana Republic,29.960286,-95.539126,Clothing Store
82,Willowbrook,29.9558598,-95.5459787,Whataburger,29.967067203169737,-95.53709690272399,Burger Joint
83,Willowbrook,29.9558598,-95.5459787,JCPenney,29.9585595,-95.5373893,Department Store
84,Willowbrook,29.9558598,-95.5459787,GNC,29.959852,-95.53913299999999,Supplement Shop
85,Willowbrook,29.9558598,-95.5459787,Macy's Men And Furniture,29.9588980325785,-95.53987138774404,Department Store
86,Willowbrook,29.9558598,-95.5459787,Best Buy,29.967562,-95.538256,Electronics Store
87,Willowbrook,29.9558598,-95.5459787,Movie Tavern,29.964336766813226,-95.55508821655228,Multiplex
88,Willowbrook,29.9558598,-95.5459787,Marble Slab Creamery,29.960153,-95.539278,Ice Cream Shop
89,Willowbrook,29.9558598,-95.5459787,Finish Line,29.958568572998047,-95.53797149658203,Shoe Store
90,Willowbrook,29.9558598,-95.5459787,SUBWAY,29.95990583065293,-95.53867695158957,Sandwich Place
91,Willowbrook,29.9558598,-95.5459787,See's Candies,29.9595075979102,-95.53898468790881,Candy Store
92,Willowbrook,29.9558598,-95.5459787,Express For Men,29.95968353487904,-95.53889243089401,Men's Store
93,Willowbrook,29.9558598,-95.5459787,Buckle,29.95939253479127,-95.53893132357007,Clothing Store
94,Willowbrook,29.9558598,-95.5459787,Pandora,29.960143,-95.538997,Jewelry Store
95,Willowbrook,29.9558598,-95.5459787,Hollister Co.,29.958771869534427,-95.53869254124162,Clothing Store
96,Willowbrook,29.9558598,-95.5459787,Bar Louie,29.9609748,-95.5403381,Gastropub
97,Willowbrook,29.9558598,-95.5459787,Kay Jewelers,29.960200316789145,-95.53891557239295,Jewelry Store
98,Willowbrook,29.9558598,-95.5459787,Massage Envy - Willowbrook,29.965938,-95.54061,Spa
99,Willowbrook,29.9558598,-95.5459787,Champs Sports,29.96392250061035,-95.5399169921875,Sporting Goods Shop
100,Greater Greenspoint,29.940678899999998,-95.4139056,Pappas Seafood House,29.9296088,-95.41293789999999,Seafood Restaurant
101,Greater Greenspoint,29.940678899999998,-95.4139056,Resie's Chicken & Waffles Restaurant,29.948339810224233,-95.42031277807992,Southern / Soul Food Restaurant
102,Greater Greenspoint,29.940678899999998,-95.4139056,Houston PREMIERE 15 Greenspoint,29.94644860037294,-95.41105726949596,Movie Theater
103,Greater Greenspoint,29.940678899999998,-95.4139056,Smoothie King,29.944157,-95.406372,Smoothie Shop
104,Greater Greenspoint,29.940678899999998,-95.4139056,Starbucks,29.947115226425897,-95.40713534545769,Coffee Shop
105,Greater Greenspoint,29.940678899999998,-95.4139056,Rocky's Subs & Pizza,29.949949214888647,-95.41917157000361,American Restaurant
106,Greater Greenspoint,29.940678899999998,-95.4139056,Jimmy G's Cajun Seafood Restaurant,29.941072722979204,-95.40088031505759,Cajun / Creole Restaurant
107,Greater Greenspoint,29.940678899999998,-95.4139056,IHOP,29.949396987577625,-95.41521416406165,Breakfast Spot
108,Greater Greenspoint,29.940678899999998,-95.4139056,Ostioneria Michoacan,29.932208814005026,-95.41057024392899,Seafood Restaurant
109,Greater Greenspoint,29.940678899999998,-95.4139056,Burlington,29.948211235448728,-95.4194600178252,Department Store
110,Greater Greenspoint,29.940678899999998,-95.4139056,Ichibon,29.944038465043057,-95.40660148225035,Japanese Restaurant
111,Greater Greenspoint,29.940678899999998,-95.4139056,GNC,29.945596999999996,-95.411736,Supplement Shop
112,Greater Greenspoint,29.940678899999998,-95.4139056,Whataburger,29.94150149797385,-95.40887765967,Burger Joint
113,Greater Greenspoint,29.940678899999998,-95.4139056,Carnival @ Greenspoint,29.944084116555082,-95.41485680236374,Theme Park
114,Greater Greenspoint,29.940678899999998,-95.4139056,U-Haul Moving & Storage at Greenspoint Mall,29.9380165,-95.4137762,Storage Facility
115,Greater Greenspoint,29.940678899999998,-95.4139056,Uncle Tong's Chinese Restaurant,29.94455025006036,-95.40658733420257,Chinese Restaurant
116,Greater Greenspoint,29.940678899999998,-95.4139056,Finish Line,29.9462308,-95.4118609,Shoe Store
117,Greater Greenspoint,29.940678899999998,-95.4139056,Chase Bank,29.948647906918413,-95.42077027116395,Bank
118,Greater Greenspoint,29.940678899999998,-95.4139056,Champs Sports,29.946372,-95.412447,Shoe Store
119,Greater Greenspoint,29.940678899999998,-95.4139056,Lone Star Donut Yogurt,29.94425457257348,-95.40655868685286,Frozen Yogurt Shop
120,Greater Greenspoint,29.940678899999998,-95.4139056,Schlotzsky's,29.94442027813789,-95.40660934226588,Restaurant
121,Greater Greenspoint,29.940678899999998,-95.4139056,Capital One Bank,29.949575,-95.415723,Bank
122,Greater Greenspoint,29.940678899999998,-95.4139056,Dollar General,29.947832107543945,-95.42102813720703,Discount Store
123,Greater Greenspoint,29.940678899999998,-95.4139056,Hyatt Place Houston-North,29.942034028880478,-95.40042571836779,Hotel
124,Greater Greenspoint,29.940678899999998,-95.4139056,Popeyes Louisiana Kitchen,29.93802813088943,-95.39800809856787,Fried Chicken Joint
125,Greater Greenspoint,29.940678899999998,-95.4139056,Just Juice,29.94911160845112,-95.4229815741491,Juice Bar
126,Greater Greenspoint,29.940678899999998,-95.4139056,Fitness Connection - Greenspoint,29.94515391489256,-95.41372904887444,Gym
127,Greater Greenspoint,29.940678899999998,-95.4139056,SUBWAY,29.947743523357246,-95.42027061739293,Sandwich Place
128,Greater Greenspoint,29.940678899999998,-95.4139056,Jimmy John's,29.944087500800844,-95.40664710831904,Sandwich Place
129,Greater Greenspoint,29.940678899999998,-95.4139056,Dillard's,29.94284969901233,-95.41150947154485,Department Store
130,Greater Greenspoint,29.940678899999998,-95.4139056,Enterprise Rent-A-Car,29.93049937756961,-95.41097204662708,Rental Car Location
131,Greater Greenspoint,29.940678899999998,-95.4139056,Wendy’s,29.949990837679895,-95.4130152567177,Fast Food Restaurant
132,Greater Greenspoint,29.940678899999998,-95.4139056,Vino,29.947098472820176,-95.40719802898936,Wine Bar
133,Greater Greenspoint,29.940678899999998,-95.4139056,Monterey's Little Mexico,29.95082553703097,-95.41121252535072,Mexican Restaurant
134,Greater Greenspoint,29.940678899999998,-95.4139056,Cici's Pizza,29.946653366088867,-95.41031646728516,Pizza Place
135,Greater Greenspoint,29.940678899999998,-95.4139056,Pho Tung Hai,29.950782804284398,-95.41877150135697,Asian Restaurant
136,Greater Greenspoint,29.940678899999998,-95.4139056,Hilton,29.946911844716386,-95.40689317521355,Hotel
137,Greater Greenspoint,29.940678899999998,-95.4139056,FedEx Office Print & Ship Center,29.940995,-95.399996,Shipping Store
138,Greater Greenspoint,29.940678899999998,-95.4139056,SUBWAY,29.931320679095446,-95.40194184964565,Sandwich Place
139,Greater Greenspoint,29.940678899999998,-95.4139056,Firestone Complete Auto Care,29.929718,-95.4107679,Automotive Shop
140,Greater Greenspoint,29.940678899999998,-95.4139056,Piazza,29.94756708150836,-95.40819813114273,Italian Restaurant
141,Greater Greenspoint,29.940678899999998,-95.4139056,Indian Grill,29.95001402278235,-95.41500525044087,Indian Restaurant
142,Greater Greenspoint,29.940678899999998,-95.4139056,Foot Locker,29.945024,-95.41159,Shoe Store
143,Greater Greenspoint,29.940678899999998,-95.4139056,Domino's Pizza,29.931251033369495,-95.40822252631187,Pizza Place
144,Greater Greenspoint,29.940678899999998,-95.4139056,Little Caesars Pizza,29.93431102121886,-95.39997046212709,Pizza Place
145,Greater Greenspoint,29.940678899999998,-95.4139056,Jack in the Box,29.95010533646928,-95.41260123252869,Fast Food Restaurant
146,Greater Greenspoint,29.940678899999998,-95.4139056,Burger King,29.948564493879346,-95.42004972696304,Fast Food Restaurant
147,Greater Greenspoint,29.940678899999998,-95.4139056,McDonald's,29.938454,-95.3979,Fast Food Restaurant
148,Greater Greenspoint,29.940678899999998,-95.4139056,Church's Chicken,29.938561331435075,-95.39821794556082,Fried Chicken Joint
149,Greater Greenspoint,29.940678899999998,-95.4139056,Brown Sugar's BBQ,29.949877616559178,-95.416447097797,BBQ Joint
150,Greater Greenspoint,29.940678899999998,-95.4139056,Taco Bell,29.942012804138916,-95.40786800813457,Fast Food Restaurant
151,Greater Greenspoint,29.940678899999998,-95.4139056,Shell,29.93127,-95.41029300000001,Gas Station
152,Greater Greenspoint,29.940678899999998,-95.4139056,Pandas Chinese Buffet,29.948091228091872,-95.42083896992752,Chinese Restaurant
153,Greater Greenspoint,29.940678899999998,-95.4139056,Denny's,29.930129470921802,-95.41103079915047,Breakfast Spot
154,Greater Greenspoint,29.940678899999998,-95.4139056,Alonti Market Cafe,29.944801748712248,-95.406723887765,Sandwich Place
155,Greater Greenspoint,29.940678899999998,-95.4139056,International Market Place,29.950158656590535,-95.41413055065331,Flea Market
156,Greater Greenspoint,29.940678899999998,-95.4139056,Greenspoint Plaza 6 Cafeteria,29.945765830224513,-95.41490283270848,Café
157,Greater Greenspoint,29.940678899999998,-95.4139056,Supermercados Teloloapan,29.9321295105257,-95.40404068549007,Grocery Store
158,Greater Greenspoint,29.940678899999998,-95.4139056,Nelly's Nails,29.93200617638098,-95.40307935063959,Nail Salon
159,Greater Greenspoint,29.940678899999998,-95.4139056,Taqueria Michoacan,29.93215560913086,-95.40278625488281,Mexican Restaurant
160,Greater Greenspoint,29.940678899999998,-95.4139056,Houston City Deli,29.952901272076424,-95.41895364622785,Burger Joint
161,Greater Greenspoint,29.940678899999998,-95.4139056,Taqueria Huetamo #2,29.9315655382086,-95.40166805818521,Mexican Restaurant
162,Carverdale,29.858707799999998,-95.545162,Rudy's Country Store And Bar-B-Q,29.866885461065163,-95.53841292858124,BBQ Joint
163,Carverdale,29.858707799999998,-95.545162,Lunch At Sam's,29.853581864562855,-95.5448021459207,Breakfast Spot
164,Carverdale,29.858707799999998,-95.545162,Courtyard Houston NW/290 Corridor,29.86533286358048,-95.54078131914139,Hotel
165,Carverdale,29.858707799999998,-95.545162,Tacos La Bala,29.846906661987305,-95.54548645019531,Taco Place
166,Carverdale,29.858707799999998,-95.545162,Railroad Crossing Barbeque,29.862055183201523,-95.54497593921569,American Restaurant
167,Carverdale,29.858707799999998,-95.545162,Hilton Garden Inn,29.86841267521001,-95.54666474002524,Hotel
168,Carverdale,29.858707799999998,-95.545162,K1 Speed Houston,29.870064814021294,-95.54499641813891,Go Kart Track
169,Carverdale,29.858707799999998,-95.545162,F.A.S.T Complex,29.870006816450505,-95.55511982801828,Volleyball Court
170,Carverdale,29.858707799999998,-95.545162,SUBWAY,29.87082372635032,-95.54604627528039,Sandwich Place
171,Carverdale,29.858707799999998,-95.545162,Shell,29.8500258945274,-95.54512487820678,Gas Station
172,Carverdale,29.858707799999998,-95.545162,Virgie's Bar-B-Q,29.847680809403386,-95.54545562737857,BBQ Joint
173,Carverdale,29.858707799999998,-95.545162,Shell,29.85465016,-95.53378277,Gas Station
174,Carverdale,29.858707799999998,-95.545162,Shell,29.870791899157712,-95.54007284524367,Gas Station
175,Carverdale,29.858707799999998,-95.545162,AMF Windfern Lanes,29.8634,-95.53511,Bowling Alley
176,Carverdale,29.858707799999998,-95.545162,Office Depot HQ,29.859901277453837,-95.53481258943916,Paper / Office Supplies Store
177,Carverdale,29.858707799999998,-95.545162,Trustmark,29.866265,-95.537892,Bank
178,Carverdale,29.858707799999998,-95.545162,Burger Tex,29.84874338499187,-95.54471855670035,Burger Joint
179,Carverdale,29.858707799999998,-95.545162,AlphaGraphics,29.8641447683817,-95.53322915377039,Print Shop
180,Carverdale,29.858707799999998,-95.545162,Midnight Preformance,29.849297,-95.555388,Auto Garage
181,Carverdale,29.858707799999998,-95.545162,Group 1 Automotive - Business Support Center,29.85683930581895,-95.53018347749173,Business Service
182,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Panera Bread,29.8533957,-95.5122583,Bakery
183,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Chipotle Mexican Grill,29.8539038,-95.5128787,Mexican Restaurant
184,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Mambo Seafood,29.8507315,-95.5101896,Seafood Restaurant
185,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Marble Slab Creamery,29.85359,-95.512252,Ice Cream Shop
186,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Smoothie King,29.851133,-95.504244,Smoothie Shop
187,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Ross Dress for Less,29.85498835,-95.51322501,Clothing Store
188,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,T-Mobile,29.852201,-95.509691,Mobile Phone Shop
189,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Whataburger,29.848667959327322,-95.50357639789581,Burger Joint
190,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Chick-fil-A,29.8479113,-95.5019755,Fast Food Restaurant
191,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Five Below,29.854857899913718,-95.51209617222219,Discount Store
192,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Bath & Body Works,29.854232632435096,-95.51189918319176,Cosmetics Shop
193,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Pho Da Lat,29.852332664493638,-95.50623241414291,Vietnamese Restaurant
194,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Aquarium World,29.846201039044782,-95.50443364403095,Pet Store
195,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Starbucks,29.849211484208958,-95.50259563345492,Coffee Shop
196,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Pappadeaux Seafood Kitchen,29.84686,-95.49955,Seafood Restaurant
197,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,LA Fitness,29.85120602425365,-95.50588846206665,Gym
198,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Hollywood Deli,29.851680359459372,-95.50291509349823,Deli / Bodega
199,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Brown Bag Deli,29.84729189869628,-95.50404094526117,Deli / Bodega
200,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,GameStop,29.851129348582244,-95.50419634845132,Video Game Store
201,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,EWR Digital,29.8446366,-95.50178869999999,Advertising Agency
202,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,The Home Depot,29.8567524,-95.5230378,Hardware Store
203,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Planet Fitness,29.850779,-95.50533,Gym / Fitness Center
204,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Kolache Factory,29.858005378098184,-95.52326010418244,Bakery
205,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Verizon,29.854736176844003,-95.51424354314804,Mobile Phone Shop
206,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Target,29.849260379664457,-95.50263827750311,Big Box Store
207,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,PetSmart,29.855734,-95.513606,Pet Store
208,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Lane Bryant,29.85375129808311,-95.51198306560048,Clothing Store
209,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Party City,29.854493710657202,-95.51166759435104,Miscellaneous Shop
210,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Mom's Country Deli,29.841794697618354,-95.51089339862875,Deli / Bodega
211,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Party City,29.852251229788035,-95.50768400708277,Miscellaneous Shop
212,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,K&G,29.856115999999997,-95.514436,Men's Store
213,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Sally Beauty,29.853747,-95.512006,Cosmetics Shop
214,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Shipley Do-Nuts,29.859219566914344,-95.52606271498132,Donut Shop
215,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,GNC,29.8512,-95.504187,Supplement Shop
216,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Crazy Cajun,29.849244432815212,-95.5040625728612,Cajun / Creole Restaurant
217,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Cobblestone Market Cafe,29.85917698990877,-95.5259868153373,Café
218,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,SUBWAY,29.858032,-95.5231739,Sandwich Place
219,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,James Coney Island,29.850043679117835,-95.50442567178098,Hot Dog Joint
220,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,The UPS Store,29.8491659,-95.5041324,Shipping Store
221,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Cavender's Boot City,29.85698095690807,-95.5209281288605,Shoe Store
222,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Wingstop,29.859455449150587,-95.52703349033588,Wings Joint
223,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,U-Haul Moving & Storage at 290 & Fairbanks,29.86004743507895,-95.52788908640338,Storage Facility
224,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Clicks Billiards,29.850884212539178,-95.50625968523256,Bar
225,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,SUBWAY,29.85120180456799,-95.5043664612923,Sandwich Place
226,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Saigon Diner,29.85833049892933,-95.52382952463121,Vietnamese Restaurant
227,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Shanghai Inn,29.859167098999023,-95.52730560302734,Asian Restaurant
228,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Schlotzsky's,29.848605789617658,-95.50120798117075,Restaurant
229,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Panda Express,29.850708824594985,-95.50529204536602,Chinese Restaurant
230,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Bombshells 290,29.86025539547689,-95.52733578280814,Sports Bar
231,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Jumping World,29.859529973288645,-95.52659792248183,Athletics & Sports
232,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Two Amigos Mexican Restaurant,29.859771301831245,-95.52558093489712,Mexican Restaurant
233,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Eats Mesquite Grill,29.850628187140323,-95.52797737978844,BBQ Joint
234,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,McDonald's,29.85848597104254,-95.52392728169252,Fast Food Restaurant
235,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Go Stephens,29.861215591430664,-95.51081848144531,Paper / Office Supplies Store
236,Fairbanks / Northwest Crossing,29.850912199999996,-95.5154068,Global Total Office,29.861217498779297,-95.51052856445312,Furniture / Home Store
