,Neighborhood,bar,restaurant,food_drink,shopping,entertainment,outdoor,others
41,IAH Airport,0.018867924528301886,0.20754716981132076,0.22641509433962265,0.22641509433962265,0.0,0.0,0.32075471698113206
42,Independence Heights,0.046511627906976744,0.16279069767441862,0.27906976744186046,0.3023255813953488,0.023255813953488372,0.06976744186046512,0.11627906976744186
43,Jensen,0.0,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.0,0.0,0.3684210526315789
44,Kashmere Gardens,0.0,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.0,0.0,0.13043478260869565
45,Kingwood,0.0,0.18181818181818182,0.2727272727272727,0.2545454545454545,0.0,0.03636363636363636,0.2545454545454545
46,Lake Houston,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,Langwood,0.0,0.2,0.125,0.325,0.025,0.0,0.325
48,Lawndale / Wayside,0.016666666666666666,0.26666666666666666,0.26666666666666666,0.33333333333333337,0.016666666666666666,0.0,0.1
49,Lazybrook / Timbergrove,0.09722222222222221,0.26388888888888884,0.18055555555555555,0.2222222222222222,0.0,0.041666666666666664,0.19444444444444445
50,MacGregor,0.02127659574468085,0.14893617021276595,0.3404255319148936,0.2553191489361702,0.0,0.0,0.23404255319148937
51,Magnolia Park,0.0,0.3157894736842105,0.18421052631578946,0.10526315789473684,0.02631578947368421,0.0,0.3684210526315789
52,Meadowbrook / Allendale,0.0,0.08333333333333333,0.0,0.41666666666666663,0.0,0.16666666666666666,0.3333333333333333
53,Medical Center,0.011627906976744186,0.12790697674418605,0.1744186046511628,0.08139534883720931,0.023255813953488372,0.06976744186046512,0.5116279069767442
54,Memorial,0.025974025974025976,0.2337662337662338,0.18181818181818182,0.38961038961038963,0.0,0.012987012987012988,0.15584415584415584
55,Meyerland,0.0,0.15714285714285714,0.2,0.48571428571428565,0.0,0.014285714285714285,0.14285714285714285
56,Mid-West (formerly Woodlake/Briarmeadow),0.0,0.28571428571428575,0.1978021978021978,0.29670329670329676,0.03296703296703297,0.01098901098901099,0.1758241758241758
57,Midtown,0.12,0.29,0.27,0.15,0.05,0.02,0.1
58,Minnetex,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
59,Museum Park (formerly Binz),0.05,0.17,0.1,0.1,0.05,0.01,0.52
60,Neartown / Montrose,0.16,0.23000000000000004,0.23,0.25,0.0,0.01,0.12
61,Northshore,0.0,0.3653846153846154,0.25,0.15384615384615385,0.019230769230769232,0.038461538461538464,0.17307692307692307
62,Northside / Northline,0.0,0.21428571428571427,0.2857142857142857,0.3571428571428571,0.023809523809523808,0.0,0.11904761904761904
63,Northside Village,0.0,0.2222222222222222,0.25,0.3055555555555555,0.027777777777777776,0.027777777777777776,0.16666666666666669
64,Park Place,0.0,0.3571428571428571,0.0,0.21428571428571427,0.0,0.14285714285714285,0.2857142857142857
65,Pecan Park,0.0,0.22666666666666666,0.2666666666666666,0.3466666666666666,0.0,0.013333333333333334,0.14666666666666667
66,Pleasantville Area,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444
67,Second Ward,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.3448275862068966,0.0,0.0,0.20689655172413793
68,Settegast,0.0,0.25,0.0,0.25,0.0,0.0,0.5
69,Sharpstown,0.0,0.2463768115942029,0.2028985507246377,0.33333333333333337,0.028985507246376812,0.028985507246376812,0.15942028985507248
70,South Acres / Crestmont Park,0.125,0.125,0.125,0.25,0.0,0.0,0.375
71,South Belt / Ellington,0.045454545454545456,0.3181818181818182,0.18181818181818182,0.30303030303030304,0.030303030303030304,0.0,0.12121212121212122
72,South Main,0.1,0.2142857142857143,0.18571428571428572,0.2714285714285714,0.0,0.014285714285714285,0.21428571428571427
73,South Park,0.0,0.125,0.0,0.25,0.0,0.0,0.625
74,Spring Branch Central,0.058823529411764705,0.23529411764705885,0.20588235294117646,0.2647058823529412,0.0,0.08823529411764706,0.14705882352941177
75,Spring Branch East,0.03,0.3,0.18000000000000002,0.37,0.01,0.0,0.11000000000000001
76,Spring Branch North,0.0,0.25000000000000006,0.2777777777777778,0.19444444444444442,0.0,0.08333333333333333,0.19444444444444445
77,Spring Branch West,0.058823529411764705,0.2745098039215686,0.21568627450980393,0.3137254901960784,0.0,0.0,0.13725490196078433
78,Sunnyside,0.0,0.30434782608695654,0.30434782608695654,0.2608695652173913,0.0,0.043478260869565216,0.08695652173913043
79,Trinity / Houston Gardens,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222
80,University Place,0.09,0.22999999999999998,0.19,0.31,0.01,0.01,0.16000000000000003
81,Washington Avenue Coalition / Memorial Park,0.06666666666666667,0.11666666666666667,0.1,0.15,0.03333333333333333,0.08333333333333334,0.45
82,Westbranch,0.0,0.14285714285714285,0.4642857142857142,0.10714285714285714,0.0,0.07142857142857142,0.21428571428571427
83,Westbury,0.05,0.05,0.15000000000000002,0.25,0.05,0.0,0.45
84,Westchase,0.05952380952380952,0.30952380952380953,0.27380952380952384,0.14285714285714285,0.023809523809523808,0.03571428571428571,0.15476190476190477
85,Westwood,0.023809523809523808,0.33333333333333326,0.09523809523809523,0.30952380952380953,0.0,0.0,0.23809523809523808
86,Willow Meadows / Willowbend,0.025,0.175,0.2,0.22500000000000003,0.025,0.025,0.32500000000000007
87,Willowbrook,0.04,0.16000000000000003,0.08999999999999998,0.6200000000000001,0.01,0.02,0.06
