,Neighborhood,Location,Latitude,Longitude,bar,restaurant,food_drink,shopping,entertainment,outdoor,others,Cluster Labels
55,Greater Fifth Ward,Northeast,29.7761332,-95.32645,0.04,0.2,0.16,0.16,0.08,0.0,0.36,0
56,Denver Harbor / Port Houston,East,29.7743832,-95.30113990000001,0.0,0.25806451612903225,0.32258064516129026,0.12903225806451613,0.0,0.0,0.29032258064516125,1
57,Pleasantville Area,East,29.7708418,-95.2729257,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,2
58,Northshore,East,29.7758059,-95.2182628,0.0,0.3653846153846154,0.25,0.15384615384615385,0.019230769230769232,0.038461538461538464,0.17307692307692307,1
59,Clinton Park / Tri-Community,East,29.74371469999999,-95.255449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60,Fourth Ward,West,29.7579028,-95.3808683,0.16,0.24000000000000002,0.21000000000000002,0.08,0.05,0.04,0.22,0
61,Downtown,—,29.755969800000003,-95.35731940000001,0.2,0.26,0.21999999999999997,0.02,0.04,0.02,0.24,0
62,Midtown,South,29.740795000000002,-95.37563440000001,0.12,0.29,0.27,0.15,0.05,0.02,0.1,0
63,Second Ward,East,29.751092600000003,-95.32400140000001,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.3448275862068966,0.0,0.0,0.20689655172413793,0
64,Greater Eastwood,Southeast,29.73570179999999,-95.33395820000001,0.07272727272727272,0.1272727272727273,0.2909090909090909,0.21818181818181817,0.03636363636363636,0.0,0.2545454545454545,0
65,Harrisburg / Manchester,Southeast,29.7185281,-95.2601563,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,3
66,Museum Park (formerly Binz),South,29.7215239,-95.3822353,0.05,0.17,0.1,0.1,0.05,0.01,0.52,0
67,Greater Third Ward,South,29.7278316,-95.3499071,0.045454545454545456,0.19696969696969696,0.34848484848484845,0.19696969696969696,0.015151515151515152,0.045454545454545456,0.1515151515151515,1
68,Greater OST / South Union,Southeast,29.6911506,-95.3528565,0.0,0.17073170731707318,0.1951219512195122,0.4634146341463415,0.0,0.0,0.17073170731707318,1
69,Gulfgate Riverview / Pine Valley,Southeast,29.708621,-95.31679890000001,0.0,0.2325581395348837,0.18604651162790697,0.46511627906976744,0.0,0.0,0.11627906976744186,1
70,Pecan Park,Southeast,29.7064733,-95.286076,0.0,0.22666666666666666,0.2666666666666666,0.3466666666666666,0.0,0.013333333333333334,0.14666666666666667,1
71,Sunnyside,South,29.664119899999996,-95.3679941,0.0,0.30434782608695654,0.30434782608695654,0.2608695652173913,0.0,0.043478260869565216,0.08695652173913043,1
72,South Park,South,29.666326799999997,-95.3372099,0.0,0.125,0.0,0.25,0.0,0.0,0.625,3
73,Golfcrest / Bellfort / Reveille,Southeast,29.685152799999997,-95.29631150000002,0.0,0.1111111111111111,0.19444444444444442,0.41666666666666663,0.0,0.0,0.2777777777777778,1
74,Park Place,Southeast,29.6950953,-95.2646733,0.0,0.3571428571428571,0.0,0.21428571428571427,0.0,0.14285714285714285,0.2857142857142857,2
75,Meadowbrook / Allendale,Southeast,29.687466600000004,-95.2461412,0.0,0.08333333333333333,0.0,0.41666666666666663,0.0,0.16666666666666666,0.3333333333333333,2
76,South Acres / Crestmont Park,South,29.627639600000002,-95.3556233,0.125,0.125,0.125,0.25,0.0,0.0,0.375,0
77,Minnetex,South,29.625626399999998,-95.3239403,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
78,Greater Hobby Area,Southeast,29.625410700000003,-95.2854369,0.0,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.0,0.0,0.18181818181818182,1
79,Edgebrook,Southeast,29.64539329999999,-95.2265511,0.0,0.2894736842105263,0.2631578947368421,0.23684210526315788,0.0,0.0,0.21052631578947367,1
80,South Belt / Ellington,Southeast,29.6015354,-95.21606750000001,0.045454545454545456,0.3181818181818182,0.18181818181818182,0.30303030303030304,0.030303030303030304,0.0,0.12121212121212122,1
81,Clear Lake,Southeast,29.58573599999999,-95.13278290000001,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.0,0.0,0.4,1
82,Magnolia Park,East,29.737171399999998,-95.2924745,0.0,0.3157894736842105,0.18421052631578946,0.10526315789473684,0.02631578947368421,0.0,0.3684210526315789,1
83,MacGregor,Southeast,29.7102924,-95.35632120000001,0.02127659574468085,0.14893617021276595,0.3404255319148936,0.2553191489361702,0.0,0.0,0.23404255319148937,1
84,Spring Branch North,Northwest,29.822703399999998,-95.5452559,0.0,0.25000000000000006,0.2777777777777778,0.19444444444444442,0.0,0.08333333333333333,0.19444444444444445,2
85,Spring Branch Central,Northwest,29.811081199999997,-95.5095815,0.058823529411764705,0.23529411764705885,0.20588235294117646,0.2647058823529412,0.0,0.08823529411764706,0.14705882352941177,1
86,Spring Branch East,Northwest,29.7908472,-95.5446297,0.03,0.3,0.18000000000000002,0.37,0.01,0.0,0.11000000000000001,1
87,Greenway / Upper Kirby,Southwest,29.732674300000003,-95.4332335,0.05,0.37,0.21,0.21000000000000002,0.01,0.04,0.11000000000000001,1
88,Lawndale / Wayside,Southeast,29.7247703,-95.31124190000001,0.016666666666666666,0.26666666666666666,0.26666666666666666,0.33333333333333337,0.016666666666666666,0.0,0.1,1
